104052 silly lifecycle cardinal@1.0.0~preinstall: no script for preinstall, continuing
105475 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/which
105476 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/global-prefix
105477 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/global-modules
105478 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/resolve-dir
105479 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/findup-sync
105480 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/liftoff
105481 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/node-notifier
105482 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/which-module
105483 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/wide-align
105484 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gauge
105485 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/node-gyp/node_modules/npmlog
105486 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/npmlog
105487 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/window-size
105488 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/winston/node_modules/async
105489 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/winston/node_modules/colors
105490 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/winston
105491 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/with/node_modules/acorn
105492 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/with
105493 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/pug-code-gen
105494 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/pug
105495 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/wordwrap
105496 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/optimist
105497 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/ruglify/node_modules/uglify-js
105498 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/ruglify
105499 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/umd
105500 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/browserify
105501 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/wrap-ansi
105502 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/cliui
105503 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/wrap-fn
105504 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/ware
105505 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/wrappy
105506 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/duplexify/node_modules/once
105507 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/duplexify/node_modules/end-of-stream
105508 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/duplexify
105509 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/end-of-stream/node_modules/once
105510 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/end-of-stream
105511 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/once
105512 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/async-done
105513 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/async-settle
105514 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/glob-watcher
105515 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/inflight
105516 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/glob
105517 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/globule
105518 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gaze
105519 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/imagemin/node_modules/globby
105520 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/imagemin
105521 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/rimraf
105522 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/fs-extra
105523 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/fstream
105524 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/tar
105525 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/phantomjs-prebuilt/node_modules/fs-extra
105526 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/glob-stream/node_modules/glob
105527 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/globby/node_modules/glob
105528 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/globby
105529 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/rework-import
105530 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-load-plugins/node_modules/glob
105531 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-load-plugins/node_modules/findup-sync
105532 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/matchdep/node_modules/glob
105533 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/matchdep/node_modules/findup-sync
105534 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/matchdep
105535 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/now-and-later
105536 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/bach
105537 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/undertaker
105538 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/wreck
105539 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/ws
105540 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/engine.io
105541 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/xmldom
105542 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/xmlhttprequest-ssl
105543 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/xpath
105544 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/xtend
105545 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/decompress-tar/node_modules/through2
105546 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/decompress-tarbz2/node_modules/through2
105547 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/decompress-targz/node_modules/through2
105548 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/glob-stream/node_modules/through2
105549 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-concat-css/node_modules/through2
105550 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-concat/node_modules/through2
105551 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-notify/node_modules/through2
105552 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/is-my-json-valid
105553 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/har-validator
105554 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/phantomjs-prebuilt/node_modules/request
105555 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/phantomjs-prebuilt
105556 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/request
105557 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/node-gyp
105558 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/tar-stream
105559 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/decompress-tar
105560 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/decompress-tarbz2
105561 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/decompress-targz
105562 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/through2
105563 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-sourcemaps
105564 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-util
105565 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/through2-concurrent
105566 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/through2-filter
105567 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/unique-stream
105568 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/glob-stream
105569 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/vinyl-fs
105570 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/y18n
105571 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/svg-sprite/node_modules/yargs
105572 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/svg-sprite
105573 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/yallist
105574 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/cross-spawn/node_modules/lru-cache
105575 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/cross-spawn
105576 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/execa
105577 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/exec-buffer
105578 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/node-sass/node_modules/lru-cache
105579 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/node-sass/node_modules/cross-spawn
105580 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/yargs
105581 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp/node_modules/gulp-cli
105582 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/localtunnel
105583 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/yargs-parser/node_modules/camelcase
105584 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/yargs-parser/node_modules/lodash.assign
105585 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/yargs-parser
105586 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/sass-graph/node_modules/yargs
105587 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/sass-graph
105588 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/node-sass
105589 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/yauzl
105590 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/decompress-unzip
105591 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/decompress
105592 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-decompress
105593 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/download
105594 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/bin-build
105595 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/bin-wrapper
105596 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gifsicle
105597 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/imagemin-gifsicle
105598 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/jpegtran-bin
105599 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/imagemin-jpegtran
105600 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/optipng-bin
105601 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/imagemin-optipng
105602 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/pngquant-bin
105603 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/yeast
105604 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/engine.io-client
105605 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/socket.io-client
105606 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/socket.io
105607 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/angular-resource
105608 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/angular-ui-router
105609 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/breakpoint-sass
105610 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/browser-sync
105611 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp
105612 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-autoprefixer
105613 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-browserify
105614 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-cheerio
105615 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-concat
105616 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-concat-css
105617 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-csso
105618 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-imagemin
105619 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-load-plugins
105620 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-notify
105621 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-pug
105622 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-replace
105623 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-sass
105624 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-svg-sprite
105625 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-svgmin
105626 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/gulp-uglify
105627 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/imagemin-pngquant
105628 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/jquery
105629 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/magnific-popup
105630 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/ng-file-upload
105631 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/normalize.css
105632 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/remove
105633 silly finalize /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/svg4everybody
105634 silly doSerial build 1102
105635 silly build abbrev@1.0.9
105636 info linkStuff abbrev@1.0.9
105637 silly linkStuff abbrev@1.0.9 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105638 verbose linkBins abbrev@1.0.9
105639 verbose linkMans abbrev@1.0.9
105640 silly build acorn@1.2.2
105641 info linkStuff acorn@1.2.2
105642 silly linkStuff acorn@1.2.2 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105643 verbose linkBins acorn@1.2.2
105644 verbose link bins [ { acorn: './bin/acorn' },
105644 verbose link bins   '/home/george/Dropbox/UNI/loftschool/photogallery/node_modules/.bin',
105644 verbose link bins   false ]
105645 verbose linkMans acorn@1.2.2
105646 silly gentlyRm /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/.bin/acorn is being purged
105647 verbose gentlyRm don't care about contents; nuking /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/.bin/acorn
105648 silly build acorn@3.3.0
105649 info linkStuff acorn@3.3.0
105650 silly linkStuff acorn@3.3.0 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/acorn-globals/node_modules as its parent node_modules
105651 verbose linkBins acorn@3.3.0
105652 verbose link bins [ { acorn: './bin/acorn' },
105652 verbose link bins   '/home/george/Dropbox/UNI/loftschool/photogallery/node_modules/acorn-globals/node_modules/.bin',
105652 verbose link bins   false ]
105653 verbose linkMans acorn@3.3.0
105654 silly gentlyRm /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/acorn-globals/node_modules/.bin/acorn is being purged
105655 verbose gentlyRm don't care about contents; nuking /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/acorn-globals/node_modules/.bin/acorn
105656 silly build acorn-globals@3.0.0
105657 info linkStuff acorn-globals@3.0.0
105658 silly linkStuff acorn-globals@3.0.0 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105659 verbose linkBins acorn-globals@3.0.0
105660 verbose linkMans acorn-globals@3.0.0
105661 silly build after@0.8.1
105662 info linkStuff after@0.8.1
105663 silly linkStuff after@0.8.1 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105664 verbose linkBins after@0.8.1
105665 verbose linkMans after@0.8.1
105666 silly build amdefine@1.0.0
105667 info linkStuff amdefine@1.0.0
105668 silly linkStuff amdefine@1.0.0 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105669 verbose linkBins amdefine@1.0.0
105670 verbose linkMans amdefine@1.0.0
105671 silly build angular@1.5.7
105672 info linkStuff angular@1.5.7
105673 silly linkStuff angular@1.5.7 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105674 verbose linkBins angular@1.5.7
105675 verbose linkMans angular@1.5.7
105676 silly build ansi-regex@2.0.0
105677 info linkStuff ansi-regex@2.0.0
105678 silly linkStuff ansi-regex@2.0.0 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105679 verbose linkBins ansi-regex@2.0.0
105680 verbose linkMans ansi-regex@2.0.0
105681 silly build ansi-styles@2.2.1
105682 info linkStuff ansi-styles@2.2.1
105683 silly linkStuff ansi-styles@2.2.1 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105684 verbose linkBins ansi-styles@2.2.1
105685 verbose linkMans ansi-styles@2.2.1
105686 silly build ansicolors@0.2.1
105687 info linkStuff ansicolors@0.2.1
105688 silly linkStuff ansicolors@0.2.1 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105689 verbose linkBins ansicolors@0.2.1
105690 verbose linkMans ansicolors@0.2.1
105691 silly build aproba@1.0.4
105692 info linkStuff aproba@1.0.4
105693 silly linkStuff aproba@1.0.4 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105694 verbose linkBins aproba@1.0.4
105695 verbose linkMans aproba@1.0.4
105696 silly build archy@1.0.0
105697 info linkStuff archy@1.0.0
105698 silly linkStuff archy@1.0.0 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105699 verbose linkBins archy@1.0.0
105700 verbose linkMans archy@1.0.0
105701 silly build arr-flatten@1.0.1
105702 info linkStuff arr-flatten@1.0.1
105703 silly linkStuff arr-flatten@1.0.1 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105704 verbose linkBins arr-flatten@1.0.1
105705 verbose linkMans arr-flatten@1.0.1
105706 silly build arr-diff@2.0.0
105707 info linkStuff arr-diff@2.0.0
105708 silly linkStuff arr-diff@2.0.0 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105709 verbose linkBins arr-diff@2.0.0
105710 verbose linkMans arr-diff@2.0.0
105711 silly build array-differ@1.0.0
105712 info linkStuff array-differ@1.0.0
105713 silly linkStuff array-differ@1.0.0 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105714 verbose linkBins array-differ@1.0.0
105715 verbose linkMans array-differ@1.0.0
105716 silly build array-find-index@1.0.2
105717 info linkStuff array-find-index@1.0.2
105718 silly linkStuff array-find-index@1.0.2 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105719 verbose linkBins array-find-index@1.0.2
105720 verbose linkMans array-find-index@1.0.2
105721 silly build array-uniq@1.0.3
105722 info linkStuff array-uniq@1.0.3
105723 silly linkStuff array-uniq@1.0.3 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105724 verbose linkBins array-uniq@1.0.3
105725 verbose linkMans array-uniq@1.0.3
105726 silly build array-union@1.0.2
105727 info linkStuff array-union@1.0.2
105728 silly linkStuff array-union@1.0.2 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105729 verbose linkBins array-union@1.0.2
105730 verbose linkMans array-union@1.0.2
105731 silly build array-unique@0.2.1
105732 info linkStuff array-unique@0.2.1
105733 silly linkStuff array-unique@0.2.1 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105734 verbose linkBins array-unique@0.2.1
105735 verbose linkMans array-unique@0.2.1
105736 silly build arraybuffer.slice@0.0.6
105737 info linkStuff arraybuffer.slice@0.0.6
105738 silly linkStuff arraybuffer.slice@0.0.6 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105739 verbose linkBins arraybuffer.slice@0.0.6
105740 verbose linkMans arraybuffer.slice@0.0.6
105741 silly build arrify@1.0.1
105742 info linkStuff arrify@1.0.1
105743 silly linkStuff arrify@1.0.1 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105744 verbose linkBins arrify@1.0.1
105745 verbose linkMans arrify@1.0.1
105746 silly build asap@2.0.5
105747 info linkStuff asap@2.0.5
105748 silly linkStuff asap@2.0.5 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105749 verbose linkBins asap@2.0.5
105750 verbose linkMans asap@2.0.5
105751 silly build asn1@0.1.11
105752 info linkStuff asn1@0.1.11
105753 silly linkStuff asn1@0.1.11 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105754 verbose linkBins asn1@0.1.11
105755 verbose linkMans asn1@0.1.11
105756 silly build assert-plus@0.1.5
105757 info linkStuff assert-plus@0.1.5
105758 silly linkStuff assert-plus@0.1.5 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105759 verbose linkBins assert-plus@0.1.5
105760 verbose linkMans assert-plus@0.1.5
105761 silly build astw@2.0.0
105762 info linkStuff astw@2.0.0
105763 silly linkStuff astw@2.0.0 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105764 verbose linkBins astw@2.0.0
105765 verbose linkMans astw@2.0.0
105766 silly build async-each@0.1.6
105767 info linkStuff async-each@0.1.6
105768 silly linkStuff async-each@0.1.6 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105769 verbose linkBins async-each@0.1.6
105770 verbose linkMans async-each@0.1.6
105771 silly build async-each-series@0.1.1
105772 info linkStuff async-each-series@0.1.1
105773 silly linkStuff async-each-series@0.1.1 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105774 verbose linkBins async-each-series@0.1.1
105775 verbose linkMans async-each-series@0.1.1
105776 silly build async-foreach@0.1.3
105777 info linkStuff async-foreach@0.1.3
105778 silly linkStuff async-foreach@0.1.3 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105779 verbose linkBins async-foreach@0.1.3
105780 verbose linkMans async-foreach@0.1.3
105781 silly build lodash@4.16.6
105782 info linkStuff lodash@4.16.6
105783 silly linkStuff lodash@4.16.6 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/async/node_modules as its parent node_modules
105784 verbose linkBins lodash@4.16.6
105785 verbose linkMans lodash@4.16.6
105786 silly build async@2.1.2
105787 info linkStuff async@2.1.2
105788 silly linkStuff async@2.1.2 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105789 verbose linkBins async@2.1.2
105790 verbose linkMans async@2.1.2
105791 silly build atob@1.1.3
105792 info linkStuff atob@1.1.3
105793 silly linkStuff atob@1.1.3 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105794 verbose linkBins atob@1.1.3
105795 verbose link bins [ { atob: 'bin/atob.js' },
105795 verbose link bins   '/home/george/Dropbox/UNI/loftschool/photogallery/node_modules/.bin',
105795 verbose link bins   false ]
105796 verbose linkMans atob@1.1.3
105797 silly gentlyRm /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/.bin/atob is being purged
105798 verbose gentlyRm don't care about contents; nuking /home/george/Dropbox/UNI/loftschool/photogallery/node_modules/.bin/atob
105799 silly build aws-sign2@0.6.0
105800 info linkStuff aws-sign2@0.6.0
105801 silly linkStuff aws-sign2@0.6.0 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105802 verbose linkBins aws-sign2@0.6.0
105803 verbose linkMans aws-sign2@0.6.0
105804 silly build aws4@1.5.0
105805 info linkStuff aws4@1.5.0
105806 silly linkStuff aws4@1.5.0 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105807 verbose linkBins aws4@1.5.0
105808 verbose linkMans aws4@1.5.0
105809 silly build backo2@1.0.2
105810 info linkStuff backo2@1.0.2
105811 silly linkStuff backo2@1.0.2 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105812 verbose linkBins backo2@1.0.2
105813 verbose linkMans backo2@1.0.2
105814 silly build balanced-match@0.4.2
105815 info linkStuff balanced-match@0.4.2
105816 silly linkStuff balanced-match@0.4.2 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105817 verbose linkBins balanced-match@0.4.2
105818 verbose linkMans balanced-match@0.4.2
105819 silly build Base64@0.2.1
105820 info linkStuff Base64@0.2.1
105821 silly linkStuff Base64@0.2.1 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105822 verbose linkBins Base64@0.2.1
105823 verbose linkMans Base64@0.2.1
105824 silly build base64-arraybuffer@0.1.2
105825 info linkStuff base64-arraybuffer@0.1.2
105826 silly linkStuff base64-arraybuffer@0.1.2 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105827 verbose linkBins base64-arraybuffer@0.1.2
105828 verbose linkMans base64-arraybuffer@0.1.2
105829 silly build base64-js@0.0.8
105830 info linkStuff base64-js@0.0.8
105831 silly linkStuff base64-js@0.0.8 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105832 verbose linkBins base64-js@0.0.8
105833 verbose linkMans base64-js@0.0.8
105834 silly build base64id@0.1.0
105835 info linkStuff base64id@0.1.0
105836 silly linkStuff base64id@0.1.0 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105837 verbose linkBins base64id@0.1.0
105838 verbose linkMans base64id@0.1.0
105839 silly build batch@0.5.3
105840 info linkStuff batch@0.5.3
105841 silly linkStuff batch@0.5.3 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105842 verbose linkBins batch@0.5.3
105843 verbose linkMans batch@0.5.3
105844 silly build beeper@1.1.0
105845 info linkStuff beeper@1.1.0
105846 silly linkStuff beeper@1.1.0 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105847 verbose linkBins beeper@1.1.0
105848 verbose linkMans beeper@1.1.0
105849 silly build benchmark@1.0.0
105850 info linkStuff benchmark@1.0.0
105851 silly linkStuff benchmark@1.0.0 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105852 verbose linkBins benchmark@1.0.0
105853 verbose linkMans benchmark@1.0.0
105854 silly build binary-extensions@1.7.0
105855 info linkStuff binary-extensions@1.7.0
105856 silly linkStuff binary-extensions@1.7.0 has /home/george/Dropbox/UNI/loftschool/photogallery/node_modules as its parent node_modules
105857 verbose linkBins binary-extensions@1.7.0
105858 verbose linkMans binary-extensions@1.7.0
105859 silly build binaryextensions@1.0.1
